fund,predict,min,max
168,949.39,850.63,1052.56
169,1498.02,1225.27,1764.37
170,3136.97,2460.74,3826.63
171,2672.38,2042.4,3294.01
172,4617.76,3900.92,5309.47
173,2159.68,1598.71,2711.79
174,2193.99,1673.67,2685.48
175,1339.71,988.02,1683.28
176,2195.95,1661.8,2730.52
177,2541.16,1901.04,3132.94
178,2208.09,1766.8,2620.98
179,2896.48,2168.73,3635.14
180,2231.44,1626.07,2847.03
181,1636.97,1321.19,1960.64
182,2041.34,1576.64,2529.91
183,2512.34,1900.54,3140.17
184,2602.18,1989.96,3249.4
185,2136.47,1716.88,2592.8
186,2156,1768.73,2571.13
187,2026.67,1455.17,2584.31
188,1273.39,1264.44,1283.11
189,1597.86,1239.1,1946.62
190,1843.95,1346.49,2335.46
191,2752.25,2105.64,3399.63
192,2597.44,1997.82,3242.84
193,2156.68,1625.46,2674.21
194,1789.42,1465.47,2103.82
195,2174.31,1607.01,2750.55
196,1929.71,1429.97,2438.55
197,1685.35,1403.84,1987.21
198,3100.01,2355.28,3906.3
199,2480.27,1881.71,3120.67
200,1069.64,-268.48,2391.33
201,1609.26,1218.77,1994.57
202,1827.42,1379.05,2256.9
203,2587.75,1978.57,3218.67
204,2274.54,1742.58,2810.09
205,2298.18,1742.77,2866.42
206,2408.69,1766.7,3055.1
207,2380.46,1792.44,2970.2
208,1635.44,1212.94,2066.06
209,2182.08,1780.07,2601.78
210,2246.56,1706.35,2788.57
211,734.27,246.4,1193.97
212,1243.82,1061.21,1412.3
213,2163.86,1670.55,2635.86
214,1103.21,941.59,1267.01
215,2899.08,2328.4,3478.93
216,3351.43,2571.82,4204.78
217,1372.22,1071,1691.82
218,1430.75,1076.39,1771.04
219,1271.52,1053.81,1478.73
220,1800.01,1438.19,2149.95
221,970.27,734.75,1221.2
222,1480.92,1073.14,1894.73
223,1478.27,1111.31,1881.67
224,879.08,862.49,896.04
225,892.02,781.69,1009.91
226,4965.54,3939.95,6035.05
227,3460.45,2759.46,4186.2
228,1051.04,1043.29,1059.22
229,2116.52,1572.98,2654.92
230,2012.58,1653.16,2396.41
231,1995.82,1697.23,2282.51
232,2417.45,1843.36,2950.84
233,975.22,722.72,1222.86
234,2925.8,2230.61,3611.35
235,2232.95,1804.6,2689.92
236,1907.73,1487.3,2342.84
237,834.53,397.53,1262.74
238,1747.3,1471.46,2022.21
239,2141.66,1590.63,2688.97
240,1676.16,1316.46,2051.46
241,1876.2,1361.45,2370.45
242,2046.36,1526.46,2559.39
243,2046.36,1524.76,2548.86
244,1154.76,905.84,1393.82
245,1224.39,912.98,1520.98
246,1330.93,1021.15,1671.82
247,2650.12,2051.23,3217.44
248,2186.35,1799.88,2570.85
249,797.94,314.34,1261.09
250,1797.19,1483.54,2132.08
251,2554.15,1988.01,3080.05
252,2254.14,1734.75,2792.13
253,1552.44,1296.31,1819.02
254,1005.95,585.13,1402.18
255,2238.75,1712.8,2733.15
256,1803.14,1395.4,2210.11
257,1412.61,1394.24,1431.21
258,1231.05,965.16,1503.33
259,2928.27,2306.39,3534.57
260,2355.07,1912.65,2813.59
261,2222.3,1516.12,2988.39
262,1779.79,1269.95,2270.68
263,1877.05,1422.59,2317.62
264,3152.81,2312.87,3987.4
265,1128.26,985.69,1272.46
266,1051.05,680.39,1471.76
267,1418.7,1021.96,1806.68
268,2710.97,2004.16,3408.73
269,2344.28,1725.79,2917.01
270,1032.47,1031.11,1033.86
271,2390.5,1916.53,2855.43
272,1430.08,1223.72,1632.02
273,1852.13,1384.14,2313.29
274,1343.01,1120.8,1584.84
275,1239,1232.16,1246.1
276,1901.55,1542.35,2263.79
277,2365.47,1793.33,2938.31
278,1367.44,1120.66,1614.68
279,1854.03,1519.11,2192.49
280,2518.01,2050.69,3005.41
281,1431.76,1177.83,1711.96
282,1946.47,1494.52,2380.17
283,1669.27,1160.72,2211.31
284,2187.41,1683.01,2655.56
285,2693.79,2068.48,3308.98
286,1705.01,1384.57,2029.05
287,1873.37,1549.62,2189.91
288,2013.39,1508.97,2611.49
289,1797.65,1500.62,2099.96
290,1793.01,1475.85,2103.43
291,1778.22,1345.46,2199.81
292,4028.28,3065.16,5003.34
293,1178.62,782.48,1540.58
294,1336.11,981.15,1681.02
295,1238.17,804.6,1642.18
296,1359.74,1005.85,1722.4
297,1313.4,986.7,1643.41
298,1268.92,883.85,1652.61
299,1395.23,1191.07,1604.47
300,1187.63,763.78,1615.57
301,1048.44 ,505.00 ,1591.70 
302,1592.49 ,1204.04 ,1969.01 
303,1534.31 ,1532.64 ,1536.03 
304,1042.34 ,1041.12 ,1043.57 
305,2475.31 ,1838.06 ,3067.17 
306,2274.59 ,1735.02 ,2787.89 
307,1376.95 ,1062.63 ,1695.79 
308,2027.21 ,1553.97 ,2494.21 
309,1568.47 ,1260.91 ,1859.94 
310,1372.07 ,1140.66 ,1595.52 
311,2314.45 ,1932.25 ,2694.60 
312,2248.48 ,1879.29 ,2633.81 
313,1754.48 ,1432.82 ,2089.07 
314,1592.74 ,1239.12 ,1936.28 
315,2891.05 ,2330.73 ,3489.18 
316,1451.38 ,1206.16 ,1692.16 
317,1333.92 ,1072.45 ,1591.63 
318,2191.88 ,1858.38 ,2515.12 
319,2160.44 ,1721.99 ,2600.13 
320,1543.42 ,1336.46 ,1744.21 
321,1524.25 ,1349.40 ,1703.72 
322,1094.35 ,834.42 ,1351.09 
323,2047.06 ,1557.50 ,2543.26 
324,1194.55 ,992.10 ,1376.80 
325,1018.58 ,773.29 ,1256.10 
326,2085.40 ,1592.92 ,2573.17 
327,1392.69 ,1013.96 ,1791.28 
328,2010.69 ,1597.53 ,2453.88 
329,1527.20 ,1153.73 ,1869.50 
330,1773.99 ,1339.70 ,2223.69 
331,1976.81 ,1548.84 ,2367.13 
332,1732.66 ,1291.46 ,2139.58 
333,2133.46 ,1588.15 ,2662.38 
334,1601.52 ,1391.94 ,1816.27 
335,1264.40 ,1105.76 ,1424.32 
336,2384.70 ,1860.59 ,2883.70 
337,1850.61 ,1446.13 ,2231.09 
338,1494.17 ,1159.95 ,1830.37 
339,1754.62 ,1284.12 ,2196.37 
340,2115.21 ,1627.71 ,2620.83 
341,1506.82 ,1196.44 ,1796.14 
342,1721.16 ,1424.18 ,2038.06 
343,2438.27 ,1852.19 ,3029.81 
344,1919.70 ,1561.78 ,2257.52 
345,1434.22 ,1016.16 ,1849.70 
346,2629.83 ,1978.31 ,3277.23 
347,3106.44 ,2507.72 ,3744.74 
348,1602.97 ,1388.26 ,1827.42 
349,1086.61 ,829.51 ,1345.15 
