date,rate
2020-05-07,1729.32 
2020-05-06,1716.16 
2020-05-05,1716.15 
2020-05-04,1738.97 
2020-05-03,1738.97 
2020-05-02,1738.96 
2020-05-01,1738.96 
2020-04-30,1738.95 
2020-04-29,1731.38 
2020-04-28,1726.63 
2020-04-27,1713.16 
2020-04-26,1713.16 
2020-04-25,1713.15 
2020-04-24,1723.03 
2020-04-23,1715.38 
2020-04-22,1711.37 
2020-04-21,1720.20 
2020-04-20,1728.77 
2020-04-19,1728.77 
2020-04-18,1728.77 
2020-04-17,1705.95 
2020-04-16,1704.93 
2020-04-15,1704.93 
2020-04-14,1691.85 
2020-04-13,1705.37 
2020-04-12,1705.36 
2020-04-11,1705.36 
2020-04-10,1697.93 
2020-04-09,1682.48 
2020-04-08,1691.44 
2020-04-07,1679.38 
2020-04-06,1650.81 
2020-04-05,1650.81 
2020-04-04,1650.80 
2020-04-03,1652.54 
2020-04-02,1635.09 
2020-04-01,1666.29 
2020-03-31,1652.12 
2020-03-30,1654.42 
2020-03-29,1654.41 
2020-03-28,1654.41 
2020-03-27,1640.34 
2020-03-26,1647.06 
2020-03-25,1606.35 
2020-03-24,1550.38 
2020-03-23,1587.93 
2020-03-22,1587.92 
2020-03-21,1587.91 
2020-03-20,1542.86 
2020-03-19,1601.08 
2020-03-18,1637.87 
2020-03-17,1652.57 
2020-03-16,1673.18 
2020-03-15,1673.17 
2020-03-14,1673.16 
2020-03-13,1701.40 
2020-03-12,1728.74 
2020-03-11,1752.15 
2020-03-10,1751.34 
2020-03-09,1783.02 
2020-03-08,1783.01 
2020-03-07,1783.01 
2020-03-06,1800.94 
2020-03-05,1794.38 
2020-03-04,1772.74 
2020-03-03,1767.87 
2020-03-02,1762.50 
2020-03-01,1762.50 
2020-02-29,1762.49 
2020-02-28,1785.65 
2020-02-27,1795.91 
2020-02-26,1805.70 
2020-02-25,1797.66 
2020-02-24,1828.48 
2020-02-23,1828.48 
2020-02-22,1828.47 
2020-02-21,1838.23 
2020-02-20,1840.97 
2020-02-19,1840.68 
2020-02-18,1852.26 
2020-02-17,1850.97 
2020-02-16,1850.95 
2020-02-15,1850.94 
2020-02-14,1848.49 
2020-02-13,1850.03 
2020-02-12,1843.70 
2020-02-11,1835.13 
2020-02-10,1839.58 
2020-02-09,1839.57 
2020-02-08,1839.56 
2020-02-07,1845.15 
2020-02-06,1822.33 
2020-02-05,1817.90 
2020-02-04,1806.39 
2020-02-03,1806.52 
2020-02-02,1806.51 
2020-02-01,1806.49 
2020-01-31,1815.57 
2020-01-30,1829.31 
2020-01-29,1824.93 
2020-01-28,1848.12 
2020-01-27,1848.10 
2020-01-26,1848.09 
2020-01-25,1848.07 
2020-01-24,1848.06 
2020-01-23,1856.73 
2020-01-22,1847.73 
2020-01-21,1852.99 
2020-01-20,1848.86 
2020-01-19,1848.84 
2020-01-18,1848.82 
2020-01-17,1848.11 
